DATE,AWHMAN,AWOTMAN,BUSLOANS,CE16OV,CES0600000007,CES1021000001,CLF16OV,CMRMTSPL,CUMFNS,DMANEMP,DPCERA3M086SBEA,DTCOLNVHFNM,DTCTHFNM,HOUST,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,INDPRO,IPB51222S,IPBUSEQ,IPCONGD,IPDCONGD,IPDMAT,IPFINAL,IPFPNSS,IPFUELS,IPMANSICS,IPMAT,IPNCONGD,IPNMAT,M1SL,M2REAL,M2SL,MANEMP,PAYEMS,REALLN,RPI,SRVPRD,UEMP15OV,UEMP15T26,UEMP27OV,UEMP5TO14,UEMPLT5,UEMPMEAN,UNRATE,USCONS,USFIRE,USGOOD,USGOVT,USTRADE,USWTRADE,W875RX1,WPSFD49207,WPSFD49502,WPSID61,WPSID62,ISRATIO
1919-01-01,,,,,,,,,,,,,,,,,,,4.8902,,,,,,,,,4.8965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-02-01,,,,,,,,,,,,,,,,,,,4.6740,,,,,,,,,4.7939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-03-01,,,,,,,,,,,,,,,,,,,4.5389,,,,,,,,,4.6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-04-01,,,,,,,,,,,,,,,,,,,4.6200,,,,,,,,,4.7170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-05-01,,,,,,,,,,,,,,,,,,,4.6470,,,,,,,,,4.6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-06-01,,,,,,,,,,,,,,,,,,,4.9442,,,,,,,,,5.0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-07-01,,,,,,,,,,,,,,,,,,,5.2414,,,,,,,,,5.3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-08-01,,,,,,,,,,,,,,,,,,,5.3224,,,,,,,,,5.4348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-09-01,,,,,,,,,,,,,,,,,,,5.2144,,,,,,,,,5.2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-10-01,,,,,,,,,,,,,,,,,,,5.1603,,,,,,,,,5.1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-11-01,,,,,,,,,,,,,,,,,,,5.0793,,,,,,,,,5.3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919-12-01,,,,,,,,,,,,,,,,,,,5.1603,,,,,,,,,5.2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-01-01,,,,,,,,,,,,,,,,,,,5.6467,,,,,,,,,5.7424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-02-01,,,,,,,,,,,,,,,,,,,5.6467,,,,,,,,,5.7424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-03-01,,,,,,,,,,,,,,,,,,,5.5386,,,,,,,,,5.6143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-04-01,,,,,,,,,,,,,,,,,,,5.2414,,,,,,,,,5.2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-05-01,,,,,,,,,,,,,,,,,,,5.3765,,,,,,,,,5.4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-06-01,,,,,,,,,,,,,,,,,,,5.4305,,,,,,,,,5.4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-07-01,,,,,,,,,,,,,,,,,,,5.2954,,,,,,,,,5.2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-08-01,,,,,,,,,,,,,,,,,,,5.3224,,,,,,,,,5.2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-09-01,,,,,,,,,,,,,,,,,,,5.1333,,,,,,,,,5.1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-10-01,,,,,,,,,,,,,,,,,,,4.9172,,,,,,,,,4.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-11-01,,,,,,,,,,,,,,,,,,,4.5119,,,,,,,,,4.3581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-12-01,,,,,,,,,,,,,,,,,,,4.2417,,,,,,,,,4.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-01-01,,,,,,,,,,,,,,,,,,,3.9986,,,,,,,,,3.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-02-01,,,,,,,,,,,,,,,,,,,3.9175,,,,,,,,,3.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-03-01,,,,,,,,,,,,,,,,,,,3.8095,,,,,,,,,3.7428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-04-01,,,,,,,,,,,,,,,,,,,3.8095,,,,,,,,,3.7428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-05-01,,,,,,,,,,,,,,,,,,,3.9175,,,,,,,,,3.8710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-06-01,,,,,,,,,,,,,,,,,,,3.8905,,,,,,,,,3.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-07-01,,,,,,,,,,,,,,,,,,,3.8635,,,,,,,,,3.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-08-01,,,,,,,,,,,,,,,,,,,3.9986,,,,,,,,,3.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-09-01,,,,,,,,,,,,,,,,,,,4.0256,,,,,,,,,4.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-10-01,,,,,,,,,,,,,,,,,,,4.2688,,,,,,,,,4.2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-11-01,,,,,,,,,,,,,,,,,,,4.2147,,,,,,,,,4.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-12-01,,,,,,,,,,,,,,,,,,,4.1877,,,,,,,,,4.2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-01-01,,,,,,,,,,,,,,,,,,,4.3498,,,,,,,,,4.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-02-01,,,,,,,,,,,,,,,,,,,4.5389,,,,,,,,,4.4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-03-01,,,,,,,,,,,,,,,,,,,4.7821,,,,,,,,,4.6401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-04-01,,,,,,,,,,,,,,,,,,,4.6200,,,,,,,,,4.8452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-05-01,,,,,,,,,,,,,,,,,,,4.8631,,,,,,,,,5.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-06-01,,,,,,,,,,,,,,,,,,,5.1063,,,,,,,,,5.3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-07-01,,,,,,,,,,,,,,,,,,,5.1063,,,,,,,,,5.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-08-01,,,,,,,,,,,,,,,,,,,4.9982,,,,,,,,,5.1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-09-01,,,,,,,,,,,,,,,,,,,5.2684,,,,,,,,,5.3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-10-01,,,,,,,,,,,,,,,,,,,5.5656,,,,,,,,,5.5630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-11-01,,,,,,,,,,,,,,,,,,,5.8088,,,,,,,,,5.7681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-12-01,,,,,,,,,,,,,,,,,,,5.9709,,,,,,,,,5.9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-01-01,,,,,,,,,,,,,,,,,,,5.8358,,,,,,,,,5.8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-02-01,,,,,,,,,,,,,,,,,,,5.9168,,,,,,,,,5.8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-03-01,,,,,,,,,,,,,,,,,,,6.1060,,,,,,,,,6.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-04-01,,,,,,,,,,,,,,,,,,,6.2410,,,,,,,,,6.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-05-01,,,,,,,,,,,,,,,,,,,6.3221,,,,,,,,,6.3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-06-01,,,,,,,,,,,,,,,,,,,6.2681,,,,,,,,,6.2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-07-01,,,,,,,,,,,,,,,,,,,6.2140,,,,,,,,,6.1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-08-01,,,,,,,,,,,,,,,,,,,6.1060,,,,,,,,,6.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-09-01,,,,,,,,,,,,,,,,,,,5.9709,,,,,,,,,5.9988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-10-01,,,,,,,,,,,,,,,,,,,5.9438,,,,,,,,,5.8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-11-01,,,,,,,,,,,,,,,,,,,5.9438,,,,,,,,,5.8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-12-01,,,,,,,,,,,,,,,,,,,5.8088,,,,,,,,,5.8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,5.9438,,,,,,,,,5.9219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-02-01,,,,,,,,,,,,,,,,,,,6.0519,,,,,,,,,6.0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-03-01,,,,,,,,,,,,,,,,,,,5.9438,,,,,,,,,5.9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-04-01,,,,,,,,,,,,,,,,,,,5.7547,,,,,,,,,5.7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-05-01,,,,,,,,,,,,,,,,,,,5.5116,,,,,,,,,5.5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-06-01,,,,,,,,,,,,,,,,,,,5.2684,,,,,,,,,5.2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-07-01,,,,,,,,,,,,,,,,,,,5.1874,,,,,,,,,5.1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-08-01,,,,,,,,,,,,,,,,,,,5.3765,,,,,,,,,5.3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-09-01,,,,,,,,,,,,,,,,,,,5.5656,,,,,,,,,5.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-10-01,,,,,,,,,,,,,,,,,,,5.7007,,,,,,,,,5.6912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-11-01,,,,,,,,,,,,,,,,,,,5.8088,,,,,,,,,5.8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-12-01,,,,,,,,,,,,,,,,,,,5.9709,,,,,,,,,6.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,,,,,,,,,,,,,,,,,,,6.1600,,,,,,,,,6.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-02-01,,,,,,,,,,,,,,,,,,,6.1600,,,,,,,,,6.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-03-01,,,,,,,,,,,,,,,,,,,6.1600,,,,,,,,,6.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-04-01,,,,,,,,,,,,,,,,,,,6.2140,,,,,,,,,6.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-05-01,,,,,,,,,,,,,,,,,,,6.1870,,,,,,,,,6.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-06-01,,,,,,,,,,,,,,,,,,,6.1330,,,,,,,,,6.1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-07-01,,,,,,,,,,,,,,,,,,,6.2951,,,,,,,,,6.3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-08-01,,,,,,,,,,,,,,,,,,,6.1870,,,,,,,,,6.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-09-01,,,,,,,,,,,,,,,,,,,6.1060,,,,,,,,,6.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-10-01,,,,,,,,,,,,,,,,,,,6.3491,,,,,,,,,6.4859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-11-01,,,,,,,,,,,,,,,,,,,6.4842,,,,,,,,,6.6653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-12-01,,,,,,,,,,,,,,,,,,,6.5652,,,,,,,,,6.8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-01-01,,,,,,,,,,,,,,,,,,,6.4572,,,,,,,,,6.6653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-02-01,,,,,,,,,,,,,,,,,,,6.4572,,,,,,,,,6.6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-03-01,,,,,,,,,,,,,,,,,,,6.5382,,,,,,,,,6.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-04-01,,,,,,,,,,,,,,,,,,,6.5382,,,,,,,,,6.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-05-01,,,,,,,,,,,,,,,,,,,6.4842,,,,,,,,,6.5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-06-01,,,,,,,,,,,,,,,,,,,6.5652,,,,,,,,,6.6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-07-01,,,,,,,,,,,,,,,,,,,6.5923,,,,,,,,,6.6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-08-01,,,,,,,,,,,,,,,,,,,6.6733,,,,,,,,,6.6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-09-01,,,,,,,,,,,,,,,,,,,6.7814,,,,,,,,,6.8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-10-01,,,,,,,,,,,,,,,,,,,6.7814,,,,,,,,,6.7679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-11-01,,,,,,,,,,,,,,,,,,,6.7544,,,,,,,,,6.7166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926-12-01,,,,,,,,,,,,,,,,,,,6.7274,,,,,,,,,6.6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
