Date,US Stock Selection Value,US Stock Selection Momentum,US Stock Selection Defensive,US Stock Selection Multi-style,Intl Stock Selection Value,Intl Stock Selection Momentum,Intl Stock Selection Defensive,Intl Stock Selection Multi-style,Equity Indices Value,Equity Indices Momentum,Equity Indices Carry,Equity Indices Defensive,Equity Indices Multi-style,Fixed Income Value,Fixed Income Momentum,Fixed Income Carry,Fixed Income Defensive,Fixed Income Multi-style,Currencies Value,Currencies Momentum,Currencies Carry,Currencies Multi-style,Commodities Value,Commodities Momentum,Commodities Carry,Commodities Multi-style,All Stock Selection Value,All Stock Selection Momentum,All Stock Selection Defensive,All Stock Selection Multi-style,All Maco Value,All Macro Momentum,All Maco Carry,All Macro Defensive,All Macro Multi-style,All asset classes Value,All asset classes Momentum,All asset classes Carry,All asset classes Defensive,All asset classes Multi-Style,Equity Indices Market,Fixed Income Market,Commodities Market,All Macro Market
2/27/87,-5.07%,-1.86%,0.53%,-2.13%,-0.71%,0.98%,2.23%,0.83%,-3.72%,4.55%,1.02%,1.68%,0.88%,-1.06%,0.37%,1.10%,1.40%,0.45%,0.57%,-1.64%,1.51%,0.15%,-4.44%,6.41%,6.74%,2.90%,-2.89%,-0.44%,1.38%,-0.65%,-1.27%,1.22%,1.81%,1.51%,0.66%,-1.85%,0.68%,1.81%,1.43%,0.35%,2.61%,-0.10%,-2.95%,0.17%
3/31/87,1.78%,1.85%,4.94%,2.86%,-0.26%,7.08%,1.70%,2.84%,0.92%,-2.89%,-1.87%,-0.92%,-1.19%,1.29%,-1.37%,-0.80%,-0.84%,-0.43%,-0.50%,-1.74%,0.73%,-0.50%,1.51%,1.58%,7.01%,3.36%,0.76%,4.46%,3.32%,2.85%,0.51%,-1.45%,0.26%,-0.87%,-0.22%,0.61%,0.28%,0.26%,1.31%,0.53%,1.58%,0.67%,2.52%,1.34%
4/30/87,0.57%,1.03%,0.42%,0.68%,-1.90%,6.16%,-5.41%,-0.38%,-3.63%,2.48%,-3.55%,3.45%,-0.31%,3.04%,-3.65%,-4.28%,-1.37%,-1.57%,-0.68%,-0.11%,0.14%,-0.22%,-0.56%,-1.62%,-2.14%,-1.44%,-0.66%,3.60%,-2.50%,0.15%,0.01%,-1.09%,-2.41%,0.50%,-0.85%,-0.16%,0.28%,-2.41%,-0.96%,-0.62%,1.34%,-0.50%,7.72%,1.21%
5/29/87,1.48%,-0.27%,-0.35%,0.29%,3.16%,-7.06%,-0.36%,-1.42%,0.36%,6.24%,3.20%,1.45%,2.81%,3.85%,-2.77%,-1.33%,-0.81%,-0.27%,0.69%,-1.52%,1.41%,0.20%,-0.08%,5.99%,1.06%,2.32%,2.32%,-3.67%,-0.36%,-0.57%,1.54%,0.41%,0.92%,0.07%,0.71%,1.75%,-0.78%,0.92%,-0.15%,0.37%,0.03%,-0.87%,1.30%,-0.48%
6/30/87,1.13%,0.01%,2.25%,1.13%,2.07%,-10.09%,1.56%,-2.15%,3.64%,-0.56%,5.51%,-0.62%,1.99%,1.87%,-2.24%,1.61%,0.34%,0.39%,0.88%,-1.54%,1.65%,0.33%,1.14%,4.76%,3.92%,3.27%,1.60%,-5.04%,1.90%,-0.51%,1.71%,-0.88%,2.75%,-0.04%,0.94%,1.66%,-2.06%,2.75%,0.96%,0.54%,1.75%,-0.30%,0.70%,0.28%
7/31/87,-0.56%,2.74%,4.25%,2.14%,-1.73%,-3.43%,-5.35%,-3.50%,0.61%,0.17%,0.57%,6.23%,1.89%,2.74%,-1.93%,1.51%,-1.73%,0.15%,-0.05%,-0.09%,-0.24%,-0.13%,-5.68%,13.46%,8.53%,5.44%,-1.04%,-0.34%,-0.55%,-0.38%,0.36%,0.87%,1.44%,1.39%,0.87%,-0.04%,0.55%,1.44%,0.50%,0.60%,7.19%,-1.87%,0.37%,0.29%
8/31/87,-0.55%,-1.05%,-0.54%,-0.71%,1.04%,0.57%,2.47%,1.36%,-0.47%,3.14%,-1.41%,3.71%,1.24%,0.20%,2.00%,0.03%,-0.16%,0.52%,-0.02%,0.59%,0.69%,0.42%,0.40%,-1.42%,2.92%,0.63%,0.10%,-0.24%,0.96%,0.18%,0.00%,1.36%,0.26%,1.33%,0.62%,0.03%,0.86%,0.26%,1.11%,0.52%,1.91%,-0.47%,-1.00%,0.48%
9/30/87,-0.14%,0.51%,0.06%,0.14%,-3.51%,-1.31%,-4.12%,-2.98%,-0.55%,0.87%,-1.60%,0.82%,-0.11%,2.18%,1.71%,-1.02%,3.40%,1.57%,1.04%,2.31%,2.60%,1.98%,4.85%,-3.03%,-3.24%,-0.47%,-1.53%,-0.40%,-2.03%,-1.21%,1.41%,1.24%,-0.06%,2.39%,1.24%,0.58%,0.75%,-0.06%,0.19%,0.70%,0.07%,-2.23%,0.84%,-1.05%
10/30/87,8.48%,-7.35%,-12.69%,-3.85%,9.34%,-1.72%,-7.78%,-0.06%,5.89%,-14.78%,2.66%,-17.41%,-5.91%,-1.88%,-1.49%,3.65%,-1.81%,-0.38%,-0.37%,-4.88%,-3.32%,-2.86%,5.23%,-8.83%,-3.14%,-2.25%,8.82%,-4.53%,-10.24%,-2.32%,0.89%,-6.11%,0.29%,-7.87%,-2.52%,3.14%,-5.70%,0.29%,-9.13%,-2.47%,-24.24%,1.67%,0.50%,-3.50%
11/30/87,2.07%,-0.78%,4.36%,1.88%,-8.41%,2.66%,-0.54%,-2.10%,-3.44%,0.85%,-3.27%,2.47%,-0.85%,1.23%,-1.65%,-0.84%,0.15%,-0.28%,0.49%,1.41%,0.40%,0.77%,-6.52%,-0.71%,1.70%,-1.84%,-2.24%,0.94%,1.91%,0.15%,-0.64%,-0.06%,-0.73%,0.85%,-0.20%,-1.06%,0.20%,-0.73%,1.32%,-0.12%,-7.50%,1.17%,3.38%,1.33%
