DATE,AWHMAN,AWOTMAN,BUSLOANS,CE16OV,CES0600000007,CES1021000001,CLF16OV,CMRMTSPL,CUMFNS,DMANEMP,DPCERA3M086SBEA,DTCOLNVHFNM,DTCTHFNM,HOUST,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,INDPRO,IPB51222S,IPBUSEQ,IPCONGD,IPDCONGD,IPDMAT,IPFINAL,IPFPNSS,IPFUELS,IPMANSICS,IPMAT,IPNCONGD,IPNMAT,M1SL,M2REAL,M2SL,MANEMP,PAYEMS,REALLN,RPI,SRVPRD,UEMP15OV,UEMP15T26,UEMP27OV,UEMP5TO14,UEMPLT5,UEMPMEAN,UNRATE,USCONS,USFIRE,USGOOD,USGOVT,USTRADE,USWTRADE,W875RX1,WPSFD49207,WPSFD49502,WPSID61,WPSID62,ISRATIO
1992-01-01,40.6,3.9,613.6063,117978.0,40.2,628.1,127261.0,757479.217,78.2847,9991.0,55.805,64104.0,188936.99,1176.0,291.0,151.0,454.0,280.0,61.7744,73.1104,42.0103,79.2212,54.7017,33.9337,67.8815,69.815,64.5871,61.5418,53.445,90.2141,100.1022,910.4,2444.8,3381.2,16839.0,108369.0,870.9999,7944.73,86156.0,3060.0,1437.0,1623.0,2826.0,3398.0,16.1,7.3,4667.0,6520.0,22213.0,18688.0,12818.9,5114.9,6854.2,122.0,120.4,113.4,97.2,1.56
1992-02-01,40.7,3.9,609.762,117753.0,40.3,623.9,127207.0,759384.431,78.8083,9990.0,55.868,64066.0,189752.08,1250.0,317.0,140.0,497.0,296.0,62.2167,74.9909,42.8645,80.0283,57.0098,34.5759,68.6771,70.4592,63.5608,62.0864,53.6904,90.1724,99.6319,925.2,2453.1,3400.0,16829.0,108311.0,873.4678,7984.306,86169.0,3182.0,1478.0,1704.0,2953.0,3277.0,16.7,7.4,4612.0,6523.0,22142.0,18689.0,12824.2,5111.1,6892.5,122.3,120.8,113.8,98.6,1.56
1992-03-01,40.7,4.0,607.381,118144.0,40.2,622.5,127604.0,762440.896,79.4206,9969.0,55.97,62992.0,190887.95,1297.0,328.0,137.0,528.0,304.0,62.7223,74.289,43.373,80.7498,58.1794,34.9502,69.2907,71.0547,63.8699,62.7115,54.1051,90.6269,101.0182,936.7,2447.1,3403.9,16805.0,108365.0,874.7157,7997.516,86238.0,3196.0,1425.0,1771.0,2801.0,3412.0,17.1,7.4,4621.0,6524.0,22127.0,18715.0,12824.4,5108.5,6898.1,122.4,120.8,113.9,97.1,1.53
1992-04-01,40.8,4.0,604.3779,118426.0,40.5,618.6,127841.0,767521.889,79.6663,9977.0,56.017,64280.0,190911.8,1099.0,237.0,123.0,476.0,263.0,63.1981,77.4554,43.8082,81.505,59.2725,35.169,69.8247,71.5871,64.2653,63.0556,54.5219,91.176,101.1963,943.8,2438.8,3399.7,16831.0,108519.0,881.185,8027.405,86387.0,3130.0,1380.0,1750.0,2821.0,3296.0,17.4,7.4,4603.0,6533.0,22132.0,18739.0,12843.3,5096.7,6917.1,122.5,120.9,114.1,98.1,1.53
1992-05-01,40.9,4.2,602.1858,118375.0,40.4,615.6,128119.0,760844.122,79.9329,9979.0,56.306,62212.0,190975.14,1214.0,299.0,124.0,501.0,290.0,63.4008,75.564,44.1696,82.0383,61.1306,35.524,70.2408,71.9885,63.7147,63.4234,54.5327,90.9797,100.7038,950.6,2432.8,3398.6,16835.0,108649.0,881.7424,8070.296,86514.0,3444.0,1460.0,1984.0,2788.0,3417.0,17.8,7.6,4605.0,6545.0,22135.0,18753.0,12841.8,5086.3,6955.2,122.9,121.4,114.5,100.3,1.52
1992-06-01,40.8,4.1,601.0422,118419.0,40.3,608.6,128459.0,768864.805,79.9867,9966.0,56.458,63021.0,192729.46,1145.0,276.0,115.0,462.0,292.0,63.4358,72.5513,44.285,81.6339,60.2972,35.6103,70.0255,71.8102,63.4713,63.6275,54.7713,90.8157,101.7865,954.3,2422.1,3393.4,16826.0,108715.0,879.3582,8104.04,86618.0,3758.0,1608.0,2150.0,2809.0,3518.0,18.2,7.8,4584.0,6553.0,22097.0,18762.0,12848.5,5078.8,6986.2,123.4,121.9,115.1,101.6,1.52
1992-07-01,40.8,4.1,599.2617,118713.0,40.3,606.8,128563.0,779161.336,80.5113,9946.0,56.647,63616.0,192845.21,1139.0,270.0,123.0,472.0,274.0,64.013,73.2333,44.756,82.6955,61.889,36.0256,70.8287,72.5392,63.6853,64.2083,55.1973,91.5661,101.8029,963.3,2415.6,3393.9,16819.0,108793.0,878.5335,8097.588,86719.0,3614.0,1490.0,2124.0,2832.0,3438.0,18.1,7.7,4570.0,6552.0,22074.0,18817.0,12826.9,5060.3,6976.8,123.3,121.9,115.2,101.6,1.51
1992-08-01,40.8,4.1,597.2695,118826.0,40.3,602.9,128613.0,766766.658,79.9164,9931.0,56.787,63811.0,195219.0,1226.0,325.0,111.0,478.0,312.0,63.6652,74.2296,44.5329,82.7422,61.3805,35.8483,70.7517,72.4634,60.67,63.8944,54.5919,91.9068,100.3612,973.7,2413.9,3398.8,16783.0,108925.0,880.1393,8128.942,86880.0,3579.0,1506.0,2073.0,2840.0,3436.0,18.0,7.6,4581.0,6564.0,22045.0,18883.0,12817.1,5052.1,7003.4,123.4,121.9,115.1,100.7,1.53
1992-09-01,40.7,4.0,598.4062,118720.0,40.2,597.2,128501.0,777427.478,79.818,9913.0,57.157,63449.0,196172.08,1186.0,265.0,125.0,522.0,274.0,63.8563,73.8008,44.7135,82.3476,61.1585,35.8281,70.6002,72.4026,62.4347,63.9723,55.023,91.4314,101.7007,988.0,2416.9,3410.3,16761.0,108959.0,882.8707,8097.898,86939.0,3504.0,1393.0,2111.0,2882.0,3428.0,18.1,7.6,4584.0,6579.0,22020.0,18829.0,12819.2,5041.7,6968.8,123.7,122.3,115.3,102.8,1.51
1992-10-01,40.8,4.1,596.8444,118628.0,40.3,598.8,128026.0,780574.063,80.1177,9898.0,57.35,63139.0,195668.84,1244.0,307.0,129.0,519.0,289.0,64.3089,77.5083,44.8617,83.4926,62.4833,36.2838,71.3348,73.0001,64.9856,64.3642,55.3318,92.4521,101.3279,1003.7,2416.2,3423.8,16751.0,109139.0,885.79,8058.13,87110.0,3505.0,1311.0,2194.0,2630.0,3356.0,18.9,7.3,4600.0,6588.0,22029.0,18828.0,12836.7,5041.4,6928.5,124.2,122.8,115.3,102.8,1.52
